UID,Product Name,Price,Original Prices,Discount rates,Stock
1,Madhur Sugar,48.0,55.0,12% off,21
2,Rajdhani Rajma Chithra (Whole),179.0,180.0,Nan,28
3,Tata Iodized Salt,20.0,,Nan,62
4,Emami Healthy & Tasty Kachchi Ghani Mustard Oil Plastic...,133.0,155.0,14% off,73
5,Roxy Gold Maida,53.0,55.0,3% off,10
6,Parry's White Label Sugar,59.0,60.0,1% off,33
7,Maggi Masala Instant Noodles Vegetarian,46.0,,Nan,34
8,Flipkart Supermart Select Cumin Seeds (Jeera),69.0,128.0,46% off,23
9,Fortune Sunlite Refined Sunflower Oil Pouch,114.0,130.0,12% off,34
10,Freedom Refined Sunflower Oil Pouch,111.0,114.0,2% off,56
11,Ananda Ghee 1 L Carton,439.0,510.0,13% off,45
12,Tata Sampann Fine Besan,52.0,64.0,18% off,74
13,Tata Sampann Fine Besan,97.0,125.0,22% off,87
14,Britannia Little Hearts,19.0,20.0,5% off,43
15,Maggi Pazzta Cheese Macaroni Pasta,25.0,,Nan,53
16,Flipkart Supermart Select Refined Wheat Flour (Maida),60.0,75.0,20% off,23
17,Fortune Besan,55.0,,Nan,87
18,Fortune Refined Soyabean Oil Pouch,116.0,130.0,10% off,43
19,Nandini Pure Cow Ghee 1 L Pouch,474.0,490.0,3% off,56
20,Britannia Marie Gold Biscuits,30.0,,Nan,23
21,Sunfeast Mom's Magic Cashew & Almonds Biscuits,103.0,105.0,1% off,21
22,Rajdhani Select Sooji,33.0,41.0,19% off,23
23,Tata Lite Iodized Salt,35.0,,Nan,9
24,bragg ORGANIC RAW UNFILTERED APPLE CIDER VINEGAR Vinega...,319.0,640.0,50% off,24
25,Patanjali Toothpaste,50.0,60.0,17% off,20
26,Parle G,20.0,25.0,20% off,50
27,pasta,800.0,200.0,50% off,20
28,Orange juice ,123.0,100.0,5% off,12
