UID,Product Name,Price,Original Prices,Discount rates,Stock
1,Portronics Cool Pad Wood Portable Laptop Table,"1,899","2,699",29% off,10
2,Ebee Metal Kitchen Cabinet,580,999,41% off,12
3,Traders5253 Carbon Steel Collapsible Wardrobe,"1,349","3,884",65% off,13
4,Sauran LCD/LED/PLASMA TV Swivel Type Movable Wall mount...,435,"2,599",83% off,12
5,MemeHO BL Wood Portable Laptop Table,999,"1,499",33% off,13
6,NAKODA Plastic Free Standing Chest of Drawers,"1,305","2,289",42% off,24
7,Flipkart Perfect Homes Studio Metal Open Book Shelf,899,"1,049",14% off,29
8,Flipkart Perfect Homes Studio Metal Open Book Shelf,999,"1,049",4% off,23
9,Portronics Mybuddy L Por-833 Wood Portable Laptop Table,"1,799","2,999",40% off,23
10,FurnCentral Metal Open Book Shelf,"1,599","3,199",50% off,9
11,Portronics POR-703 My Buddy Plus (Bamboo) Wood Portable...,"1,899","2,699",29% off,3
12,LINGAZ TB-04 Wood Portable Laptop Table,899,"2,099",57% off,0
13,Flipzon Baby 6 Shelve Unbreakable Material PVC Collapsi...,995,"2,999",66% off,6
14,Ebee Metal Shoe Stand,499,899,44% off,9
15,Flipkart Perfect Homes Studio Metal Open Book Shelf,"1,699","2,759",38% off,18
16,Ebee Metal Shoe Stand,699,"1,299",46% off,28
17,PARASNATH Parasnath 4-5 Utility Shoe Rack Cabinet (Red)...,549,"1,999",72% off,13
18,FurnCentral Metal Kitchen Cabinet,"1,999","2,999",33% off,9
19,Sauran 26-55 inch Heavy TV Wall Mount for all types of ...,365,"1,150",68% off,3
20,Flipkart Perfect Homes Studio Metal Open Book Shelf,"1,499","2,759",45% off,0
21,Sasimo 1-Door 6-Shelf Fabric Collapsible Carbon Steel C...,899,"4,999",82% off,6
22,Continental 6 + 2 Shelves 3 Door 88130 Brown PP Collaps...,"1,549","2,499",38% off,9
23,CMerchants Shoe Stand 6 Layer Metal Collapsible Shoe St...,690,"1,799",61% off,18
24,Flipkart Perfect Homes Studio XXXL Classic Classic Bean...,"1,999","3,999",50% off,28
25,assd,123.0,3234.0,123% off,12
